#,squad,page_id,tags,title,description,intent,video_id,intent_type,channel,category,category_icon,is_deep_link_available,deeplink,priority,line_of_business,resident_type,visibility,product_category,query_category,query_sub_category,sr_category,sr_name,is_popular,label,intent_priority,Follow up 1,Follow up 2 ,Follow up 3
11,RAS,All,relationship manager|rm details|rm contact|assigned rm|account manager|bank rm|rm phone email|RM|my rm|who is my rm|contact my rm|rm name|rm email|rm number|relationship manager number|relationship manager contact|my account manager|my banker|personal banker|branch manager contact,Who is my relationship manager?,You can view your assigned Relationship Manager’s name and contact details instantly.,RELATIONSHIP_MANAGER_DETAILS,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,TRUE,Accounts,,,Accounts,,FALSE,Relationship Manager Details,,,,
12,CC,All,credit card status|credit card state|card availability|is my credit card active|cc status|credit card active or blocked|my cc status|check credit card status|credit card active status|is my cc blocked|credit card current status|is my credit card working,What is the status of my credit card?,"You can check whether your credit card is active, temporarily blocked, or permanently blocked.",CREDIT_CARD_STATUS,,Executable,mobile,faq,FAQ,FALSE,,,creditcard,RI,TRUE,credit_cards,,,credit_cards,,FALSE,Credit Card Status,,,,
13,CC,All,credit limit|available limit|remaining limit|card limit|spending limit|credit balance|limit details|cc limit|my credit card limit|available credit limit|what is my cc limit|how much can I spend on credit card|total credit limit|current credit limit|cc available limit|credit card max limit|remaining credit card limit,What is my available credit limit?,You can view your total credit limit and current available limit for each card.,CREDIT_CARD_LIMIT,,Executable,mobile,faq,FAQ,FALSE,,,creditcard,RI,TRUE,credit_cards,,,credit_cards,,FALSE,Credit Card Limit,,,,
14,CC,All,credit card statement date|billing date|statement cycle|bill generation date|card billing|monthly cycle|statement schedule|when is my credit card bill|cc statement date|my credit card bill date|credit card due date|cc due date|cc billing cycle|when is my cc due|credit card payment due date|credit card cycle|when does my cc bill generate|credit card statement generation,What is my credit card statement date?,You can check your credit card statement generation date and billing cycle easily.,VIEW_CREDIT_CARD,,Executable,mobile,faq,FAQ,FALSE,,,creditcard,RI,TRUE,credit_cards,,,credit_cards,,FALSE,View Credit Card,,,,
15,RL,All,account statement|download statement|bank statement|transaction statement|statement pdf|account history|monthly statement|download bank statement|e-statement|get account statement|my account statement|download passbook|statement download|download my statement|savings statement download|account ledger|statement of account|soa|savings account statement pdf,Download my account statement,You can download your account statement for any selected period instantly.,DOWNLOAD_ACCOUNT_STATEMENT,,Executable,mobile,faq,FAQ,FALSE,,,liability,RI,TRUE,Accounts,,,Accounts,,FALSE,Download Account Statement,,,,
16,RL,All,tds certificate|download tds|tax certificate|interest tds|tds statement|tax proof|tds document|tds|form 16a|download form 16a|tds form|tds form download|get tds certificate|tax deduction certificate|my tds certificate|tds form 16|16a certificate|tds certificate download|tds for fd|fd tds certificate,Download my TDS certificate,You can download your TDS certificate for applicable accounts from one place.,DOWNLOAD_TDS_CERTIFICATE,,Executable,mobile,faq,FAQ,FALSE,,,liability,RI,TRUE,Accounts,,,Accounts,,FALSE,Download TDS Certificate,,,,
17,RL,All,interest certificate|download interest|loan interest certificate|tax interest proof|interest statement|interest document|loan tax certificate|interest|home loan interest certificate|home loan tax certificate|provisional interest certificate|loan interest statement|download loan certificate|home loan 80c certificate|interest paid certificate|loan provisional certificate|loan interest paid statement,Download my interest certificate,You can download your interest certificate for  loans instantly.,DOWNLOAD_LOAN_INTEREST_CERTIFICATE,,Executable,mobile,faq,FAQ,FALSE,,,asset,RI,TRUE,loans,,,loans,,FALSE,Download Loan Interest Certificate,,,,
18,PLATFORM,All,customer id|customer id number|my customer id|find customer id|bank customer id|profile details|account identity|my cust id|cust id|what is my customer id|find my customer id|where is my customer id|cif|cif number|customer information file|my cif|show me my customer id,How can I get my Customer ID?,You can view your Customer ID in your profile and account details section.,SHOW_CUSTOMER_ID,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,TRUE,profile,,,profile,,FALSE,Show Customer ID,,,,
19,CC,All,track deliverables|credit card delivery|credit card delivery status|where is my credit card|when will I get my credit card|credit card courier status|track cc|credit card dispatch|credit card delivery tracking|cc tracking|credit card shipment|when will my credit card arrive|credit card not received|new credit card delivery|track new credit card,How can I track delivery of my Credit card ?,You can track the delivery status of your credit card instantly.,TRACK_DELIVERABLE_STATUS_CREDIT_CARD,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,TRUE,credit_cards,,,credit_cards,,FALSE,Track Credit Card Deliverable Status,,,,
20,CC,All,credit card statement|view statement|card bill|billing statement|statement pdf|monthly statement|card transactions|credit card|cc statement|download credit card statement|my credit card bill|credit card e-statement|get credit card statement|credit card bill download|cc bill|credit card statement pdf|monthly credit card statement|view my cc statement,How can I view my credit card statement?,You can view and download your credit card statement for the selected billing period.,VIEW_CREDIT_CARD_STATEMENT,,Executable,mobile,faq,FAQ,FALSE,,,creditcard,RI,TRUE,credit_cards,,,credit_cards,,FALSE,View Credit Card Statement ,,,,
21,RL,All,loan details|loan account|loan summary|loan tenure|interest rate loan|emi schedule|loan information|EMI|Loan EMI|my loan|my loans|loan emi details|loan balance|loan outstanding|principal outstanding|loan info|view my loan|check loan details|loan tenure remaining|loan balance enquiry|my home loan|my personal loan|current loan status|remaining loan amount,How can I view my loan details?,"You can see your complete loan details including tenure, interest rate, and EMI schedule.",VIEW_LOAN_DETAILS,,Executable,mobile,faq,FAQ,FALSE,,,asset,RI,TRUE,loans,,,loans,,FALSE,View Loan Details,,,,
22,PFM,All,net worth|total net worth|financial overview|assets and liabilities|wealth summary|portfolio overview|networth details|my net worth|total assets|my wealth|networth tracker|my financial summary|total wealth|my portfolio summary|financial position|my finances overview|show my net worth|calculate my net worth,How can I check my net worth?,"You can view your overall net worth based on linked accounts, loans, and investments.",VIEW_NETWORTH,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,TRUE,networth,,,networth,,FALSE,View Networth,,,,
23,RAS,All,debit card status|active card|temporary block|permanent block|debit card blocked|card availability|is my debit card active|dc status|my debit card status|check debit card status|debit card active status|is my debit card blocked|debit card current status|is my debit card working|atm card status,What is the status of my debit card?,"You can check whether your debit card is active, temporarily blocked, or permanently blocked.",SHOW_DEBIT_CARD_STATUS,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,TRUE,debit_cards,,,debit_cards,,FALSE,Show Debit Card Status,,,,
24,CC,All,pay credit card bill|credit card payment|card bill payment|pay cc dues|credit card outstanding|statement payment|bill pay|credit card|pay cc bill|settle credit card|clear credit card dues|pay my credit card|cc payment|pay credit card outstanding|settle cc dues|payment of credit card|pay credit card dues|credit card bill pay,How can I pay my credit card bill?,You can pay your credit card bill securely and instantly from your bank account.,PAY_CREDIT_CARD_BILL,,Executable,mobile,faq,FAQ,FALSE,,,creditcard,RI,TRUE,credit_cards,,,credit_cards,,FALSE,Pay Credit Card Bill,,,,
25,RAS,All,track deliverables|Debit card delivery|Debit card delivery status|where is my debit card|when will I get my debit card|debit card courier status|track dc|debit card dispatch|debit card delivery tracking|dc tracking|debit card shipment|new debit card status|debit card not received|track new debit card|atm card delivery,How can I track delivery of my Debit card ?,You can track the delivery status of your Debit card instantly.,TRACK_DELIVERABLE_STATUS_DEBIT_CARD,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,TRUE,debit_cards,,,debit_cards,,FALSE,Track Debit Card Deliverable Status,,,,
26,RAS,All,track deliverables|cheuque book delivery|cheque book delivery status|where is my cheque book|when will I get cheque book|cheque book courier|track chequebook|chequebook tracking|chequebook dispatch|cheque book delivery|cheque book not received|new cheque book status|chequebook courier status,How can I track delivery of my Cheque Book ?,You can track the delivery status of your Cheque Book instantly.,TRACK_DELIVERABLE_STATUS_CHEQUE_BOOK,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,TRUE,Accounts,,,Accounts,,FALSE,Track Cheque Book Deliverable Status,,,,
27,RAS,All,track deliverables|welcome kit delivery|welcome kit delivery status|welcome kit tracking|welcome kit dispatch|where is my welcome kit|welcome kit courier|new account kit status|account opening kit|welcome kit shipment|welcome kit not received|kit delivery status|track welcome kit,How can I track delivery of my Welcome Kit?,You can track the delivery status of your Welcome Kit instantly.,TRACK_DELIVERABLE_STATUS_WELCOME_KIT,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,TRUE,Accounts,,,Accounts,,FALSE,Track Welcome Kit Deliverable Status,,,,
28,CC,All,credit card emi|all emis|emi details|active emis|card emi summary|monthly emis|emi breakup|my credit card emi|cc emi|credit card installments|my cc emis|ongoing credit card emi|emi on credit card|my card emis|credit card emi list|active emis on cc|credit card monthly emi,Show all EMIs on my credit cards,"Sure, here are your EMIs for your credit card",VIEW_CREDIT_CARD_EMIS,creditcard,Executable,RI,credit_cards,"
","
",,"
",creditcard,RI,TRUE,credit_cards,,,credit_cards,,FALSE,View Credit Card EMIs,,,,
29,RAS,All,fd rate|current fd interest|fixed deposit rate|best fd rate|fd returns|FD interest rates|interest|latest fd rates|current fd rates|fd interest|fixed deposit interest rate|today fd rate|fd interest rate today|fd roi|best fixed deposit rate|fd rate chart|fd interest for senior citizens|fd rate for 1 year|fd rate for 2 year|fd rate for 3 year|fd rates today|highest fd rate,FD interest rate today?,Our FD rates depend on tenure and customer type. Check latest rates and book FD instantly.,VIEW_FD_RATE,liability|asset|creditcard,Executable,RI,FD/RD,"
","
",,"
",liability|asset|creditcard,RI,TRUE,FD/RD,,,fd_rd,,TRUE,View FD Rates,,,,
30,RAS,All,open fd|book fd|create fixed deposit|start fd|new fd|fd opening|book new fd|create fd|start a fixed deposit|open a fixed deposit|invest in fd|make an fd|fd booking|place fd|open new fixed deposit|book fixed deposit|i want to open fd|open fd online|fd online booking,How to open FD online?,"Sure, you can book FD in one click",OPEN_FD,liability,Executable,RI,FD/RD,"
","
",,"
",liability,RI,TRUE,FD/RD,,,fd_rd,,TRUE,Open FD,,,,
31,RAS,All,pay to mobile|send money mobile|mobile payment|upi to mobile|pay phone number|transfer to mobile|quick pay|upi|send money to contact|upi send money|transfer to phone number|pay using upi|pay contact|send to phone|upi transfer|instant money transfer|pay friend|pay using mobile number|send money via upi|upi payment|scan and pay contact,How can I pay to a mobile number?,"You can send money instantly using UPI to a mobile number, contact, or person. For example, you can pay to your contact (ex. Rahul or abhishek) by entering their mobile number or contact name.",PAY_TO_MOBILE,liability,Executable,RI,Accounts,"
","
",,"
",liability,RI,TRUE,Accounts,,,Accounts,,FALSE,Pay to Mobile,,,,
32,PAYMENTS,All,My QR Code|How to see my QR Code|UPI ID|Download QR|Manage UPI|Share QR|VPA|my upi qr|scan my qr|receive money qr|show my qr code|my receive money qr|my vpa|my upi handle|get my qr|my upi address|my payment qr|share my qr code|qr code download,How do I view my QR code and UPI ID?,View your personal QR code and UPI ID to receive payments quickly and securely.,VIEW_MY_QR,,Executable,,,,,,,liability,RI,TRUE,,,,,,FALSE,My QR Code,,,,
33,RAS,All,Change registered email|Change email|Registered email|Email|Change my Email|email  modification|Change|How do I update my email address|update email id|change email id|modify email|edit email|change my email address|update registered email|update my email|change my registered email id|new email|set new email|update email address|email id update,How do I update my email address?,Update your registered email ID to receive important notifications and communication.,EMAIL_CHANGE,,Executable,,,,,,,liability|asset|creditcard,RI,TRUE,profile,,,profile,,FALSE,Change Email ,,,,
34,ALL,All,manage setting|setting|How do I manage settings,How do I manage settings?,"Access your settings section to manage preferences, security controls, and configurations. Update options like notifications, login methods, and defaults easily in one place.",MANAGE_SETTINGS,,Redirection ,,,,,/Settings,,liability|asset|creditcard,RI,TRUE,,,,,,FALSE,Manage settings,,,,
35,BAS,All,Services|My SRs|Service request|New cheque|New cheque book request|Instant Services|Raise new request|Have a query|Service requests|How do I use instant services,How do I access instant services?,"Access instant services to raise service requests, request cheque books, and manage queries. Track all requests from one place.",VIEW_INSTANT_SERVICES,,Redirection ,,,,,/more/echequebooks,,liability|asset|creditcard,RI,TRUE,,,,,,FALSE,Instant Services,,,,
36,BAS,All,My settings|Settings|Change settings|Default account|Block fingerprint|Use biometrics|Enable/ disable biometric|How do I view my settings|How do I change the settings|How do I change settings,How do I manage my settings?,"Update your configuration including default account, MPIN, password, and biometric settings like fingerprint or Face ID securely.",SETTINGS,,Redirection ,,,,,/Settings,,liability|asset|creditcard,RI,TRUE,,,,,,FALSE,Settings,,,,
37,BAS,All,debit card block|debit card form|debit card apply|debit card hot listing|debit card visa|debit card shopping|debit cards list|debit card limit|debit card account number|debit card expiration date,How do I view my debit cards?,"View all your debit cards, check limits, manage usage, and access card details like CVV, expiry, and transaction controls.",VIEW_DEBIT_CARDS,,Redirection ,,,,,/cards,,liability|asset|creditcard,RI,TRUE,,,,,,FALSE,Debit Card List,,,,
38,BAS,All,Lost card|Card stolen|Block card|Block debit|Instant block|cancel debit card|new debit card|How do I report lost card|How to block a debit card|How to cancel debit card,How do I permanently block my debit card?,Permanently block your debit card immediately in case of loss or theft to prevent unauthorized usage.,BLOCK_DEBIT_CARD_PERMANENT,,Redirection ,,,,,/cards,,liability|asset|creditcard,RI,TRUE,,,,,,FALSE,Permanently Block Debit Card,,,,
39,BAS,All,New RD|Create RD|Open RD|RD interest|RD plans|RD tenure|RD installment|How to create a new recurring deposit|How do I create a new RD|How to find RD interest,How do I create a recurring deposit?,Open a recurring deposit by selecting tenure and installment amount. Grow your savings with regular contributions.,CREATE_RD,,Redirection ,,,,,/createrd,,liability|asset|creditcard,RI,TRUE,,,,,,FALSE,Create RD,,,,
40,BAS,All,Close FD|Premature FD|Close fixed deposit|FD Closure|Close my FD|fd maturity|How to close a FD|How to close premature FD|How to check fd maturity|How to cancel FD,How do I close my fixed deposit?,Close your fixed deposit either on maturity or prematurely and receive the amount in your linked account.,FD_CLOSURE,,Redirection ,,,,,/deposits,,liability|asset|creditcard,RI,TRUE,,,,,,FALSE,FD Closure,,,,
41,BAS,All,Close RD|Premature RD|Close recurring deposit|RD Closure|Cancel RD|Mature RD|How to close a RD|How to close premature RD|How to check RD maturity|How to cancel RD,How do I close my recurring deposit?,Close your recurring deposit anytime or at maturity and get the proceeds credited to your account.,RD_CLOSURE,,Redirection ,,,,,/deposits,,liability|asset|creditcard,RI,TRUE,,,,,,FALSE,RD Closure,,,,
42,CC,All,Change pin|Credit card PIN|Credit card secure pin|Credit card pin generation|How do I change my credit card pin?|How do I setup my credit card pin?,How do I set or change my credit card PIN?,Set or change your credit card PIN securely to enable transactions and ATM usage.,SET_CC_PIN,,Redirection ,,,,,/SetCardPin,,creditcard,RI,TRUE,,,,,,FALSE,Set New Credit Card Pin,,,,
43,CC,All,ATM|Withdrawal,How do I enable ATM withdrawals on my credit card?,Enable ATM withdrawals on your credit card to access cash within your approved limits when required.,ENABLE_CC_ATM_WITHDRAWALS,,Redirection ,,,,,/ManageCreditCardLimit,,creditcard,RI,TRUE,,,,,,FALSE,ATM Withdrawals - Credit card,,,,
44,CC,All,Domestic,How do I enable my credit card for domestic usage?,Enable domestic usage on your credit card to allow transactions within the country securely.,ENABLE_DOMESTIC_SPENDS_CC,,Redirection ,,,,,/ManageCreditCardLimit,,creditcard,RI,TRUE,,,,,,FALSE,Enable Domestic Spends - Credit Card,,,,
45,CC,All,atm withdrawal limit|How do I setup limits for atm withdrawals on my credit card?,How do I set ATM withdrawal limits on my credit card?,Set or modify ATM withdrawal limits on your credit card to control cash withdrawals and spending securely.,SET_CC_ATM_LIMITS,,Redirection ,,,,,/ManageCreditCardLimit,,creditcard,RI,TRUE,,,,,,FALSE,Setup ATM Withdrawals,,,,
46,CC,All,Setup SI on credit card|Setup standing instructions on credit card|Standing instructions|How do I enable SI / Autopay for my credit card bill?|auto pay|auto debit on credit card|auto debit|automatic payment credit card,How do I enable autopay for my credit card bill?,Set up standing instructions or autopay to automatically pay your credit card bill on time and avoid missing due dates.,SETUP_CC_AUTOPAY,,Redirection ,,,,,/CreditCardManageAutoPay,,creditcard,RI,TRUE,,,,,,FALSE,Setup Autopay for Credit Card Bills,,,,
47,CC,All,Credit card rewards|rewards|Redeem reward points|Redeem points,How do I view and redeem my credit card rewards?,"Check your reward points balance and redeem them easily for available offers, vouchers, or benefits.",REDEEM_CC_REWARDS,,Redirection ,,,,,/rewards/cclp,,creditcard,RI,TRUE,,,,,,FALSE,Redeem Reward Points,,,,
48,CC,All,Billed transactions|How do I view billed transactions of my credit card?,How do I view billed transactions on my credit card?,View all billed transactions that are included in your current credit card statement cycle.,VIEW_BILLED_TRANSACTIONS_CC,,Redirection ,,,,,/SettledUnsettledTransactions,,creditcard,RI,TRUE,,,,,,FALSE,Billed Transactions - Credit Card,,,,
49,CC,All,Pending transactions|How do I view pending transactions of my credit card?,How do I view pending transactions on my credit card?,Check pending transactions that are authorized but not yet billed on your credit card.,VIEW_PENDING_TRANSACTIONS_CC,,Redirection ,,,,,/SettledUnsettledTransactions,,creditcard,RI,TRUE,,,,,,FALSE,Pending Transactions - Credit Card,,,,
50,CC,All,Unbilled transactions|How do I view unbilled transactions of my credit card?,How do I view unbilled transactions on my credit card?,View unbilled transactions that will appear in your upcoming credit card statement.,VIEW_UNBILLED_TRANSACTIONS_CC,,Redirection ,,,,,/SettledUnsettledTransactions,,creditcard,RI,TRUE,,,,,,FALSE,Unbilled Transactions - Credit Card,,,,
51,CC,All,EMI|EMI conversion|Convert to EMI|easy monthly installments|installments,How can I convert my credit card transactions into EMIs?,Convert eligible credit card transactions into easy monthly installments to manage payments better.,CONVERT_TO_EMI_CC,,Redirection ,,,,,/SettledUnsettledTransactions,,creditcard,RI,TRUE,,,,,,FALSE,Convert to EMI - Credit Card,,,,
52,CC,All,Activate,How do I activate my credit card?,Activate your new credit card to start using it for transactions and payments.,ACTIVATE_CC,,Redirection ,,,,,/CreditCardDetails,,creditcard,RI,TRUE,,,,,,FALSE,Activate Your Credit Card,,,,
53,CC,All,Replace|replace blocked credit card|replace credit card|replace card|How do I replace my blocked credit card?,How do I replace my credit card?,"Request a replacement for your damaged, lost, or blocked credit card easily through the app.",REPLACE_CC,,Redirection ,,,,,/PermanentBlockCard,,creditcard,RI,TRUE,,,,,,FALSE,Apply For Replacement- Credit Card,,,,
54,CC,All,Track credit card application|Track application|credit card application|Application tracking,How do I track my credit card application?,Track the status of your credit card application and delivery updates in real time.,TRACK_CC_APPLICATION,,Redirection ,,,,,/servicerequests/dashboard,,creditcard,RI,TRUE,,,,,,FALSE,Track Your Credit Card Application,,,,
55,CC,All,CVV unmask|Unmask|CVV|How do I unmask my credit card CVV?,How do I view my credit card CVV?,Securely view or unmask your credit card CVV when needed for online transactions.,VIEW_CVV_CC,,Redirection ,,,,,/CreditCardDetails,,creditcard,RI,TRUE,,,,,,FALSE,View CVV Of Your Credit Card,,,,
56,CC,All,Card payment|How do I do card payment,How do I make a card payment?,Make payments using your credit card quickly and securely for purchases or bill payments.,CARD_PAYMENT,,Redirection ,,,,,/PayCreditCardBill,,creditcard,RI,TRUE,,,,,,FALSE,Card Payment,,,,
57,CC,All,Credit card settlement|How to do Credit card settlement,How do I settle my credit card dues?,Explore settlement options for your credit card dues and close outstanding balances as per eligibility.,CC_SETTLEMENT,,Redirection ,,,,,/SettledUnsettledTransactions,,creditcard,RI,TRUE,,,,,,FALSE,Credit Card Settlement,,,,
58,FX,All,Send money to USA|Send money to UK|Transfer funds abroad|Send money abroad|Investment abroad|Studies abroad|Education abroad|Pay Abroad|How to pay abroad|How do I pay abroad,How do I send money abroad?,"Transfer funds internationally for education, investments, or personal use. Track remittance and exchange rates easily.",PAY_ABROAD,,Redirection ,,,,,/payabroad,,liability,RI,TRUE,,,,,,FALSE,Pay Abroad,,,,
59,FX,All,NRO to NRE|transfer from NRO to NRE|NRO|NRE|transfer to my NRE account|NRO to NRE Transfer|Transfer to NRE|fund transfer from NRO to NRE|transfer from NRO,How do I transfer money from NRO to NRE account?,Transfer funds from your NRO account to NRE account as per applicable guidelines and limits.,TRANSFER_NRO_TO_NRE,,Redirection ,,,,,/pay/payments/NroToNreTransfer,,liability,RI,TRUE,,,,,,FALSE,Transfer to NRE,,,,
60,PAYMENTS,All,Payee|Manage beneficiary|Manage payee|Delete beneficiary|Delete payee|How to view beneficiary|How to view payee|How do I manage beneficiary|How do I manage payee|How do I delete a payee,How do I manage my beneficiaries?,"View, add, or delete beneficiaries or payees to manage fund transfers easily and securely.",MANAGE_PAYEE,,Redirection ,,,,,/allPayees,,liability|asset|creditcard,RI,TRUE,,,,,,FALSE,Payee List,,,,
61,PAYMENTS,All,Add beneficiary|Add Payee|new payee|How do I add beneficiary|How to  add payee|How to add new payee,How do I add a new beneficiary?,Add a new beneficiary or payee to transfer funds securely after verification.,ADD_PAYEE,,Redirection ,,,,,/bankTransfer,,liability|asset|creditcard,RI,TRUE,,,,,,FALSE,Send Money To New Payee,,,,
62,PAYMENTS,All,How do I pay electricity bill|How do I pay gas bill|How do I pay mobile postpaid bill|How to I pay credit card bill|How do I pay for utiulities|How do I pay bill|How do I pay for insurance|How do I pay for rentals|How do I municipal pay tax|How do I pay for subscription,How do I pay my bills?,"Pay utility bills, subscriptions, taxes, and more easily from one place using secure payment options.",PAY_BILL,,Redirection ,,,,,/billerCategories,,liability|asset|creditcard,RI,TRUE,,,,,,FALSE,Pay Bill,,,,
63,PAYMENTS,All,Request Money List|Ask Money List|View Pending Request Money|How to see request money list|How to see ask money list|How to view pending request money,How do I view my pending money requests?,View all incoming money requests and take action by approving or declining them directly from the app.,VIEW_REQUEST_MONEY,,Redirection ,,,,,/pay/requests,,liability,RI,TRUE,,,,,,FALSE,Collect Confirm,,,,
64,PAYMENTS,All,VPA|Manage UPI|Address|link account|How to use VPA|How to manage upi|How to use UPI Address|How to link account,How do I manage my UPI ID?,"Manage your UPI ID, link accounts, and configure payment settings for seamless UPI transactions.",MANAGE_UPI,,Redirection ,,,,,/UpiLanding,,liability,RI,TRUE,,,,,,FALSE,Manage UPI,,,,
65,PLATFORM,All,Call|Need assistance|Schedule call back|Call later|Contact|Call back|How do I get a Call back from IDFC First Bank,How do I schedule a call back?,Request a call back from customer support at your preferred time for assistance.,SCHEDULE_CALLBACK,,Redirection ,,,,,/ScheduleCallBackLoggedInScreen,,liability|asset|creditcard,RI,TRUE,,,,,,FALSE,Schedule Call Back,,,,
