#,squad,page_id,tags,title,description,intent,video_id,intent_type,channel,category,category_icon,is_deep_link_available,deeplink,priority,line_of_business,resident_type,visibility,product_category,query_category,query_sub_category,sr_category,sr_name,is_popular,label,intent_priority,Follow up 1,Follow up 2 ,Follow up 3,nlu_intent,nlu_entities,nlu_examples,nlu_disambiguation_hint
14,CC,All,credit card statement date|billing date|statement cycle|bill generation date|card billing|monthly cycle|statement schedule|when is my credit card bill|cc statement date|my credit card bill date|credit card due date|cc due date|cc billing cycle|when is my cc due|credit card payment due date|credit card cycle|when does my cc bill generate|credit card statement generation,What is my credit card statement date?,You can check your credit card statement generation date and billing cycle easily.,VIEW_CREDIT_CARD,,Executable,mobile,faq,FAQ,FALSE,,,creditcard,RI,True,credit_cards,,,credit_cards,,False,View Credit Card,,,,,view_statement_date,"{""action"": ""view"", ""card_type"": ""credit_card"", ""document_type"": ""credit_card_statement"", ""feature"": ""statement_date"", ""limit_type"": ""billing_cycle"", ""product"": ""credit_card""}",credit card statement date|billing date|statement cycle|bill generation date|card billing|monthly cycle|statement schedule|when is my credit card bill|cc statement date|my credit card bill date|credit card due date|cc due date,Use for View Credit Card. Feature is statement date. Card type is credit card. Document requested is credit card statement.
15,RL,All,account statement|download statement|bank statement|transaction statement|statement pdf|account history|monthly statement|download bank statement|e-statement|get account statement|my account statement|download passbook|statement download|download my statement|savings statement download|account ledger|statement of account|soa|savings account statement pdf,Download my account statement,You can download your account statement for any selected period instantly.,DOWNLOAD_ACCOUNT_STATEMENT,,Executable,mobile,faq,FAQ,FALSE,,,liability,RI,True,Accounts,,,Accounts,,False,Download Account Statement,,,,,download_account_statement,"{""account_type"": ""savings_account"", ""action"": ""download"", ""document_type"": ""account_statement"", ""feature"": ""account_statement"", ""product"": ""account""}",account statement|download statement|bank statement|transaction statement|statement pdf|account history|monthly statement|download bank statement|e-statement|get account statement|my account statement|download passbook,Use for Download Account Statement. Feature is account statement. Document requested is account statement.
16,RL,All,tds certificate|download tds|tax certificate|interest tds|tds statement|tax proof|tds document|tds|form 16a|download form 16a|tds form|tds form download|get tds certificate|tax deduction certificate|my tds certificate|tds form 16|16a certificate|tds certificate download|tds for fd|fd tds certificate,Download my TDS certificate,You can download your TDS certificate for applicable accounts from one place.,DOWNLOAD_TDS_CERTIFICATE,,Executable,mobile,faq,FAQ,FALSE,,,liability,RI,True,Accounts,,,Accounts,,False,Download TDS Certificate,,,,,download_tds_certificate,"{""action"": ""download"", ""document_type"": ""tds_certificate"", ""feature"": ""tds_certificate"", ""product"": ""account""}",tds certificate|download tds|tax certificate|interest tds|tds statement|tax proof|tds document|tds|form 16a|download form 16a|tds form|tds form download,Use for Download TDS Certificate. Feature is tds certificate. Document requested is tds certificate.
17,RL,All,interest certificate|download interest|loan interest certificate|tax interest proof|interest statement|interest document|loan tax certificate|interest|home loan interest certificate|home loan tax certificate|provisional interest certificate|loan interest statement|download loan certificate|home loan 80c certificate|interest paid certificate|loan provisional certificate|loan interest paid statement,Download my interest certificate,You can download your interest certificate for  loans instantly.,DOWNLOAD_LOAN_INTEREST_CERTIFICATE,,Executable,mobile,faq,FAQ,FALSE,,,asset,RI,True,loans,,,loans,,False,Download Loan Interest Certificate,,,,,download_loan_interest_certificate,"{""action"": ""download"", ""document_type"": ""interest_certificate"", ""feature"": ""loan_interest_certificate"", ""loan_type"": ""loan"", ""product"": ""loan""}",interest certificate|download interest|loan interest certificate|tax interest proof|interest statement|interest document|loan tax certificate|interest|home loan interest certificate|home loan tax certificate|provisional interest certificate|loan interest statement,Use for Download Loan Interest Certificate. Feature is loan interest certificate. Loan type is loan. Document requested is interest certificate.
18,PLATFORM,All,customer id|customer id number|my customer id|find customer id|bank customer id|profile details|account identity|my cust id|cust id|what is my customer id|find my customer id|where is my customer id|cif|cif number|customer information file|my cif|show me my customer id,How can I get my Customer ID?,You can view your Customer ID in your profile and account details section.,SHOW_CUSTOMER_ID,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,True,profile,,,profile,,False,Show Customer ID,,,,,view_customer_id,"{""action"": ""view"", ""feature"": ""customer_id"", ""product"": ""customer_id"", ""service_type"": ""profile_update""}",customer id|customer id number|my customer id|find customer id|bank customer id|profile details|account identity|my cust id|cust id|what is my customer id|find my customer id|where is my customer id,Use for Show Customer ID. Feature is customer id. Service type is profile update.
19,CC,All,track deliverables|credit card delivery|credit card delivery status|where is my credit card|when will I get my credit card|credit card courier status|track cc|credit card dispatch|credit card delivery tracking|cc tracking|credit card shipment|when will my credit card arrive|credit card not received|new credit card delivery|track new credit card,How can I track delivery of my Credit card ?,You can track the delivery status of your credit card instantly.,TRACK_DELIVERABLE_STATUS_CREDIT_CARD,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,True,credit_cards,,,credit_cards,,False,Track Credit Card Deliverable Status,,,,,track_credit_card_deliverable_status,"{""action"": ""track"", ""card_type"": ""credit_card"", ""feature"": ""credit_card_deliverable_status"", ""product"": ""credit_card"", ""request_type"": ""delivery_tracking"", ""service_type"": ""delivery_tracking""}",track deliverables|credit card delivery|credit card delivery status|where is my credit card|when will I get my credit card|credit card courier status|track cc|credit card dispatch|credit card delivery tracking|cc tracking|credit card shipment|when will my credit card arrive,Use for Track Credit Card Deliverable Status. Feature is credit card deliverable status. Service type is delivery tracking. Card type is credit card.
20,CC,All,credit card statement|view statement|card bill|billing statement|statement pdf|monthly statement|card transactions|credit card|cc statement|download credit card statement|my credit card bill|credit card e-statement|get credit card statement|credit card bill download|cc bill|credit card statement pdf|monthly credit card statement|view my cc statement,How can I view my credit card statement?,You can view and download your credit card statement for the selected billing period.,VIEW_CREDIT_CARD_STATEMENT,,Executable,mobile,faq,FAQ,FALSE,,,creditcard,RI,True,credit_cards,,,credit_cards,,False,View Credit Card Statement ,,,,,view_credit_card_statement,"{""action"": ""view"", ""card_type"": ""credit_card"", ""document_type"": ""credit_card_statement"", ""feature"": ""credit_card_statement"", ""product"": ""credit_card""}",credit card statement|view statement|card bill|billing statement|statement pdf|monthly statement|card transactions|credit card|cc statement|download credit card statement|my credit card bill|credit card e-statement,Use for View Credit Card Statement. Feature is credit card statement. Card type is credit card. Document requested is credit card statement.
21,RL,All,loan details|loan account|loan summary|loan tenure|interest rate loan|emi schedule|loan information|EMI|Loan EMI|my loan|my loans|loan emi details|loan balance|loan outstanding|principal outstanding|loan info|view my loan|check loan details|loan tenure remaining|loan balance enquiry|my home loan|my personal loan|current loan status|remaining loan amount,How can I view my loan details?,"You can see your complete loan details including tenure, interest rate, and EMI schedule.",VIEW_LOAN_DETAILS,,Executable,mobile,faq,FAQ,FALSE,,,asset,RI,True,loans,,,loans,,False,View Loan Details,,,,,view_loan_details,"{""action"": ""view"", ""feature"": ""loan_details"", ""loan_type"": ""loan"", ""product"": ""loan""}",loan details|loan account|loan summary|loan tenure|interest rate loan|emi schedule|loan information|EMI|Loan EMI|my loan|my loans|loan emi details,Use for View Loan Details. Feature is loan details. Loan type is loan.
22,PFM,All,net worth|total net worth|financial overview|assets and liabilities|wealth summary|portfolio overview|networth details|my net worth|total assets|my wealth|networth tracker|my financial summary|total wealth|my portfolio summary|financial position|my finances overview|show my net worth|calculate my net worth,How can I check my net worth?,"You can view your overall net worth based on linked accounts, loans, and investments.",VIEW_NETWORTH,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,True,networth,,,networth,,False,View Networth,,,,,view_networth,"{""action"": ""view"", ""feature"": ""networth"", ""product"": ""networth""}",net worth|total net worth|financial overview|assets and liabilities|wealth summary|portfolio overview|networth details|my net worth|total assets|my wealth|networth tracker|my financial summary,Use for View Networth. Feature is networth.
23,RAS,All,debit card status|active card|temporary block|permanent block|debit card blocked|card availability|is my debit card active|dc status|my debit card status|check debit card status|debit card active status|is my debit card blocked|debit card current status|is my debit card working|atm card status,What is the status of my debit card?,"You can check whether your debit card is active, temporarily blocked, or permanently blocked.",SHOW_DEBIT_CARD_STATUS,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,True,debit_cards,,,debit_cards,,False,Show Debit Card Status,,,,,view_debit_card_status,"{""action"": ""view"", ""card_type"": ""debit_card"", ""feature"": ""debit_card_status"", ""product"": ""debit_card"", ""status"": ""active_or_blocked""}",debit card status|active card|temporary block|permanent block|debit card blocked|card availability|is my debit card active|dc status|my debit card status|check debit card status|debit card active status|is my debit card blocked,Use for Show Debit Card Status. Feature is debit card status. Card type is debit card. Block/status qualifier is active or blocked.
24,CC,All,pay credit card bill|credit card payment|card bill payment|pay cc dues|credit card outstanding|statement payment|bill pay|credit card|pay cc bill|settle credit card|clear credit card dues|pay my credit card|cc payment|pay credit card outstanding|settle cc dues|payment of credit card|pay credit card dues|credit card bill pay,How can I pay my credit card bill?,You can pay your credit card bill securely and instantly from your bank account.,PAY_CREDIT_CARD_BILL,,Executable,mobile,faq,FAQ,FALSE,,,creditcard,RI,True,credit_cards,,,credit_cards,,False,Pay Credit Card Bill,,,,,pay_credit_card_bill,"{""action"": ""pay"", ""card_type"": ""credit_card"", ""feature"": ""credit_card_bill"", ""payment_type"": ""credit_card_bill"", ""product"": ""credit_card""}",pay credit card bill|credit card payment|card bill payment|pay cc dues|credit card outstanding|statement payment|bill pay|credit card|pay cc bill|settle credit card|clear credit card dues|pay my credit card,Use for Pay Credit Card Bill. Feature is credit card bill. Card type is credit card. Payment rail or bill type is credit card bill.
25,RAS,All,track deliverables|Debit card delivery|Debit card delivery status|where is my debit card|when will I get my debit card|debit card courier status|track dc|debit card dispatch|debit card delivery tracking|dc tracking|debit card shipment|new debit card status|debit card not received|track new debit card|atm card delivery,How can I track delivery of my Debit card ?,You can track the delivery status of your Debit card instantly.,TRACK_DELIVERABLE_STATUS_DEBIT_CARD,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,True,debit_cards,,,debit_cards,,False,Track Debit Card Deliverable Status,,,,,track_debit_card_deliverable_status,"{""action"": ""track"", ""card_type"": ""debit_card"", ""feature"": ""debit_card_deliverable_status"", ""product"": ""debit_card"", ""request_type"": ""delivery_tracking"", ""service_type"": ""delivery_tracking""}",track deliverables|Debit card delivery|Debit card delivery status|where is my debit card|when will I get my debit card|debit card courier status|track dc|debit card dispatch|debit card delivery tracking|dc tracking|debit card shipment|new debit card status,Use for Track Debit Card Deliverable Status. Feature is debit card deliverable status. Service type is delivery tracking. Card type is debit card.
26,RAS,All,track deliverables|cheuque book delivery|cheque book delivery status|where is my cheque book|when will I get cheque book|cheque book courier|track chequebook|chequebook tracking|chequebook dispatch|cheque book delivery|cheque book not received|new cheque book status|chequebook courier status,How can I track delivery of my Cheque Book ?,You can track the delivery status of your Cheque Book instantly.,TRACK_DELIVERABLE_STATUS_CHEQUE_BOOK,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,True,Accounts,,,Accounts,,False,Track Cheque Book Deliverable Status,,,,,track_cheque_deliverable_status,"{""action"": ""track"", ""feature"": ""cheque_deliverable_status"", ""product"": ""cheque_book"", ""request_type"": ""delivery_tracking"", ""service_type"": ""delivery_tracking""}",track deliverables|cheuque book delivery|cheque book delivery status|where is my cheque book|when will I get cheque book|cheque book courier|track chequebook|chequebook tracking|chequebook dispatch|cheque book delivery|cheque book not received|new cheque book status,Use for Track Cheque Book Deliverable Status. Feature is cheque deliverable status. Service type is delivery tracking.
27,RAS,All,track deliverables|welcome kit delivery|welcome kit delivery status|welcome kit tracking|welcome kit dispatch|where is my welcome kit|welcome kit courier|new account kit status|account opening kit|welcome kit shipment|welcome kit not received|kit delivery status|track welcome kit,How can I track delivery of my Welcome Kit?,You can track the delivery status of your Welcome Kit instantly.,TRACK_DELIVERABLE_STATUS_WELCOME_KIT,,Executable,mobile,faq,FAQ,FALSE,,,liability|asset|creditcard,RI,True,Accounts,,,Accounts,,False,Track Welcome Kit Deliverable Status,,,,,track_welcome_kit_deliverable_status,"{""action"": ""track"", ""feature"": ""welcome_kit_deliverable_status"", ""product"": ""welcome_kit"", ""request_type"": ""delivery_tracking"", ""service_type"": ""delivery_tracking""}",track deliverables|welcome kit delivery|welcome kit delivery status|welcome kit tracking|welcome kit dispatch|where is my welcome kit|welcome kit courier|new account kit status|account opening kit|welcome kit shipment|welcome kit not received|kit delivery status,Use for Track Welcome Kit Deliverable Status. Feature is welcome kit deliverable status. Service type is delivery tracking.
28,CC,All,credit card emi|all emis|emi details|active emis|card emi summary|monthly emis|emi breakup|my credit card emi|cc emi|credit card installments|my cc emis|ongoing credit card emi|emi on credit card|my card emis|credit card emi list|active emis on cc|credit card monthly emi,Show all EMIs on my credit cards,"Sure, here are your EMIs for your credit card",VIEW_CREDIT_CARD_EMIS,creditcard,Executable,RI,credit_cards,"
","
",,"
",creditcard,RI,True,credit_cards,,,credit_cards,,False,View Credit Card EMIs,,,,,view_credit_card_emis,"{""action"": ""view"", ""card_type"": ""credit_card"", ""feature"": ""credit_card_emis"", ""product"": ""credit_card"", ""status"": ""active_or_blocked""}",credit card emi|all emis|emi details|active emis|card emi summary|monthly emis|emi breakup|my credit card emi|cc emi|credit card installments|my cc emis|ongoing credit card emi,Use for View Credit Card EMIs. Feature is credit card emis. Card type is credit card. Block/status qualifier is active or blocked.
29,RAS,All,fd rate|current fd interest|fixed deposit rate|best fd rate|fd returns|FD interest rates|interest|latest fd rates|current fd rates|fd interest|fixed deposit interest rate|today fd rate|fd interest rate today|fd roi|best fixed deposit rate|fd rate chart|fd interest for senior citizens|fd rate for 1 year|fd rate for 2 year|fd rate for 3 year|fd rates today|highest fd rate,FD interest rate today?,Our FD rates depend on tenure and customer type. Check latest rates and book FD instantly.,VIEW_FD_RATE,liability|asset|creditcard,Executable,RI,FD/RD,"
","
",,"
",liability|asset|creditcard,RI,True,FD/RD,,,fd_rd,,True,View FD Rates,,,,,view_fd_rates,"{""action"": ""view"", ""deposit_type"": ""fixed_deposit"", ""feature"": ""fd_rates"", ""product"": ""fixed_deposit""}",fd rate|current fd interest|fixed deposit rate|best fd rate|fd returns|FD interest rates|interest|latest fd rates|current fd rates|fd interest|fixed deposit interest rate|today fd rate,Use for View FD Rates. Feature is fd rates. Deposit type is fixed deposit.
30,RAS,All,open fd|book fd|create fixed deposit|start fd|new fd|fd opening|book new fd|create fd|start a fixed deposit|open a fixed deposit|invest in fd|make an fd|fd booking|place fd|open new fixed deposit|book fixed deposit|i want to open fd|open fd online|fd online booking,How to open FD online?,"Sure, you can book FD in one click",OPEN_FD,liability,Executable,RI,FD/RD,"
","
",,"
",liability,RI,True,FD/RD,,,fd_rd,,True,Open FD,,,,,open_fd,"{""action"": ""open"", ""deposit_type"": ""fixed_deposit"", ""feature"": ""fd"", ""product"": ""fixed_deposit""}",open fd|book fd|create fixed deposit|start fd|new fd|fd opening|book new fd|create fd|start a fixed deposit|open a fixed deposit|invest in fd|make an fd,Use for Open FD. Feature is fd. Deposit type is fixed deposit.
31,RAS,All,pay to mobile|send money mobile|mobile payment|upi to mobile|pay phone number|transfer to mobile|quick pay|upi|send money to contact|upi send money|transfer to phone number|pay using upi|pay contact|send to phone|upi transfer|instant money transfer|pay friend|pay using mobile number|send money via upi|upi payment|scan and pay contact,How can I pay to a mobile number?,"You can send money instantly using UPI to a mobile number, contact, or person. For example, you can pay to your contact (ex. Rahul or abhishek) by entering their mobile number or contact name.",PAY_TO_MOBILE,liability,Executable,RI,Accounts,"
","
",,"
",liability,RI,True,Accounts,,,Accounts,,False,Pay to Mobile,,,,,pay_mobile,"{""action"": ""pay"", ""feature"": ""mobile"", ""payment_type"": ""pay_to_mobile"", ""product"": ""account"", ""profile_attribute"": ""mobile""}",pay to mobile|send money mobile|mobile payment|upi to mobile|pay phone number|transfer to mobile|quick pay|upi|send money to contact|upi send money|transfer to phone number|pay using upi,Use for Pay to Mobile. Feature is mobile. Payment rail or bill type is pay to mobile.
32,PAYMENTS,All,My QR Code|How to see my QR Code|UPI ID|Download QR|Manage UPI|Share QR|VPA|my upi qr|scan my qr|receive money qr|show my qr code|my receive money qr|my vpa|my upi handle|get my qr|my upi address|my payment qr|share my qr code|qr code download,How do I view my QR code and UPI ID?,View your personal QR code and UPI ID to receive payments quickly and securely.,VIEW_MY_QR,,Executable,,,,,,,liability,RI,True,,,,,,False,My QR Code,,,,,view_upi_qr,"{""action"": ""view"", ""feature"": ""upi_qr"", ""product"": ""upi""}",My QR Code|How to see my QR Code|UPI ID|Download QR|Manage UPI|Share QR|VPA|my upi qr|scan my qr|receive money qr|show my qr code|my receive money qr,Use for My QR Code. Feature is upi qr.
